Input Size,Insertion Time (ms)
100,0.1339
200,0.1891
300,0.3061
400,0.1798
500,0.2272
600,0.5903
700,0.3114
800,0.3573
900,0.4057
1000,0.4734
1100,1.1381
1200,0.52
1300,0.5624
1400,0.6095
1500,0.656
1600,0.7678
1700,0.8644
1800,0.8276
1900,1.3443
2000,1.1347
2100,1.1253
2200,2.5025
2300,1.1378
2400,1.0545
2500,1.7779
2600,2.0096
2700,1.7434
2800,1.3424
2900,2.3786
3000,1.3579
3100,1.3302
3200,1.3469
3300,1.2674
3400,1.3173
3500,2.5628
3600,1.3179
3700,1.1452
3800,1.2772
3900,1.5968
4000,3.0867
4100,2.3642
4200,1.7503
4300,4.7446
4400,1.953
4500,1.5849
4600,1.9113
4700,3.2226
4800,2.39
4900,2.3456
5000,2.8126
5100,1.8472
5200,2.1437
5300,2.4296
5400,3.0234
5500,2.3275
5600,3.3429
5700,2.4377
5800,2.1648
5900,2.3643
6000,3.5471
6100,2.6072
6200,3.3147
6300,7.357
6400,3.3717
6500,2.8261
6600,3.7968
6700,2.6565
6800,5.4583
6900,7.454
7000,3.3155
7100,3.7232
7200,4.0493
7300,4.0616
7400,3.2703
7500,2.6792
7600,5.1844
7700,3.6476
7800,5.1908
7900,2.9517
8000,4.4144
8100,3.8183
8200,4.2087
8300,3.6329
8400,8.3032
8500,12.2109
8600,3.935
8700,4.253
8800,3.4481
8900,4.9311
9000,4.1061
9100,6.0232
9200,5.2135
9300,5.3067
9400,5.2396
9500,3.5489
9600,6.0585
9700,6.7152
9800,14.2402
9900,13.247
10000,12.5257
10100,6.2055
10200,3.7344
10300,9.4627
10400,8.18
10500,4.9945
10600,3.9789
10700,3.786
10800,3.3299
10900,5.9942
11000,4.5739
11100,4.9641
11200,5.3166
11300,10.8546
11400,5.3067
11500,5.9207
11600,5.8128
11700,8.4142
11800,6.0573
11900,4.7368
12000,8.0196
12100,5.4124
12200,7.4848
12300,6.913
12400,5.0095
12500,7.6454
12600,6.1647
12700,7.6949
12800,6.4555
12900,6.9328
13000,13.8066
13100,7.8246
13200,6.1524
13300,8.4893
13400,7.2582
13500,8.5022
13600,7.4746
13700,8.0936
13800,7.5655
13900,5.7519
14000,8.6001
14100,6.5561
14200,8.9717
14300,7.4898
14400,9.0772
14500,6.4354
14600,9.0464
14700,7.7595
14800,9.9158
14900,7.6247
15000,9.9097
15100,7.0125
15200,9.4619
15300,9.4537
15400,9.1679
15500,7.4207
15600,9.1411
15700,9.0399
15800,9.0774
15900,8.4697
16000,9.7615
16100,9.4655
16200,7.7663
16300,10.4212
16400,8.5597
16500,14.836
16600,15.9544
16700,10.9596
16800,9.0168
16900,10.2612
17000,27.9121
17100,8.3635
17200,10.9994
17300,9.9397
17400,9.9973
17500,10.3899
17600,8.939
17700,11.6983
17800,10.1099
17900,9.8967
18000,11.0113
18100,10.9844
18200,10.1631
18300,11.7391
18400,12.1389
18500,11.4207
18600,13.8587
18700,13.0847
18800,13.1083
18900,13.9132
19000,15.2702
19100,11.1964
19200,10.9001
19300,12.6614
19400,11.0616
19500,14.5063
19600,13.1472
19700,12.0516
19800,12.8501
19900,14.2215
20000,12.8165
20100,13.4891
20200,11.8183
20300,10.8981
20400,12.3984
20500,11.5956
20600,10.2432
20700,12.9535
20800,11.6653
20900,14.8796
21000,16.6068
21100,11.232
21200,13.3014
21300,12.8044
21400,17.8945
21500,13.2283
21600,13.2193
21700,11.7128
21800,13.1133
21900,13.0018
22000,11.8006
22100,11.5106
22200,13.9958
22300,13.1505
22400,13.1955
22500,12.3226
22600,11.984
22700,13.5241
22800,13.3663
22900,11.6697
23000,16.362
23100,26.1885
23200,17.3555
23300,30.8664
23400,16.162
23500,13.1143
23600,12.0515
23700,10.9747
23800,13.5368
23900,12.9611
24000,14.6248
24100,11.7134
24200,13.891
24300,14.5979
24400,18.9332
24500,14.6683
24600,14.7074
24700,14.3738
24800,14.1143
24900,14.7857
25000,13.5231
25100,13.4295
25200,14.591
25300,15.5677
25400,14.6746
25500,19.3474
25600,20.2818
25700,16.1694
25800,14.2955
25900,15.7099
26000,14.9435
26100,15.1318
26200,18.5025
26300,16.17
26400,16.4072
26500,20.5639
26600,22.5361
26700,15.2647
26800,14.5485
26900,14.6926
27000,15.3652
27100,15.8252
27200,15.6382
27300,15.5704
27400,15.8707
27500,16.0375
27600,15.2863
27700,16.9395
27800,16.1233
27900,14.8317
28000,19.4646
28100,16.8253
28200,15.2071
28300,13.8482
28400,17.3077
28500,20.1804
28600,16.8396
28700,25.1958
28800,21.549
28900,19.3742
29000,18.9215
29100,21.3274
29200,21.1417
29300,20.6533
29400,20.7142
29500,21.1043
29600,19.1649
29700,22.2904
29800,21.4894
29900,24.3914
30000,24.5114
30100,17.3141
30200,16.6959
30300,16.0188
30400,17.066
30500,17.1088
30600,17.4192
30700,23.9395
30800,21.2069
30900,16.3295
31000,16.8089
31100,16.8174
31200,17.0078
31300,17.3622
31400,18.374
31500,21.8109
31600,25.3895
31700,21.8535
31800,30.2568
31900,18.3445
32000,20.2845
32100,17.1521
32200,19.1571
32300,17.9108
32400,18.4207
32500,17.6258
32600,17.4575
32700,21.4981
32800,20.48
32900,18.605
33000,19.0528
33100,19.333
33200,20.5294
33300,18.9083
33400,19.0559
33500,17.9301
33600,19.0721
33700,18.2417
33800,18.9569
33900,44.6738
34000,18.698
34100,19.2701
34200,20.9853
34300,19.7856
34400,25.1392
34500,24.7589
34600,20.7427
34700,23.5223
34800,19.0206
34900,28.4574
35000,20.0062
35100,18.5078
35200,22.4744
35300,19.6132
35400,20.2367
35500,24.9104
35600,18.7082
35700,21.0337
35800,20.241
35900,26.0717
36000,20.6461
36100,20.3098
36200,20.5873
36300,20.4955
36400,21.6529
36500,25.13
36600,21.9636
36700,20.6719
36800,22.0325
36900,22.002
37000,21.3979
37100,20.6776
37200,26.623
37300,19.6165
37400,26.5497
37500,20.5834
37600,20.7895
37700,24.509
37800,20.934
37900,20.6874
38000,21.675
38100,21.0758
38200,26.3737
38300,24.0533
38400,22.2851
38500,20.6436
38600,23.2582
38700,21.9416
38800,21.0873
38900,27.587
39000,21.3963
39100,22.5178
39200,21.1176
39300,21.7913
39400,25.6915
39500,23.3783
39600,22.1608
39700,22.3418
39800,21.8341
39900,24.1328
40000,22.8053
40100,22.3095
40200,27.5909
40300,22.3373
40400,27.6727
40500,21.5153
40600,23.7571
40700,22.8082
40800,22.5357
40900,27.5056
41000,29.309
41100,24.0073
41200,26.6487
41300,22.4218
41400,28.2171
41500,22.3738
41600,23.828
41700,24.0364
41800,23.9908
41900,24.1012
42000,23.9721
42100,23.1324
42200,21.7766
42300,27.8401
42400,21.755
42500,26.0882
42600,22.6831
42700,24.9556
42800,23.7035
42900,24.229
43000,23.7091
43100,23.0055
43200,29.2513
43300,24.7984
43400,23.5091
43500,25.5261
43600,23.494
43700,24.2805
43800,27.4912
43900,24.8066
44000,23.4112
44100,24.6363
44200,24.7518
44300,22.6188
44400,35.0695
44500,25.1767
44600,22.1747
44700,25.6067
44800,23.4461
44900,28.4222
45000,78.9954
45100,24.5425
45200,26.1816
45300,31.5686
45400,24.5872
45500,26.2889
45600,26.6041
45700,25.0742
45800,24.2708
45900,25.3886
46000,27.3115
46100,24.4428
46200,24.1579
46300,27.2165
46400,26.1177
46500,25.2756
46600,26.9085
46700,24.3921
46800,26.0089
46900,32.8772
47000,26.5685
47100,26.5739
47200,28.9105
47300,24.8263
47400,25.8972
47500,25.5167
47600,27.0214
47700,23.7967
47800,31.7233
47900,25.3336
48000,25.4059
48100,26.508
48200,24.0947
48300,32.0329
48400,27.2548
48500,24.5802
48600,27.5248
48700,28.3716
48800,26.6981
48900,31.4291
49000,33.7791
49100,28.7455
49200,26.4442
49300,26.6922
49400,28.649
49500,28.9607
49600,29.5132
49700,25.6228
49800,25.995
49900,26.598
50000,28.2247
50100,24.6392
50200,29.8511
50300,27.8923
50400,26.4665
50500,31.5152
50600,31.0351
50700,32.1335
50800,31.368
50900,27.8064
51000,31.3117
51100,26.6449
51200,27.0547
51300,27.9655
51400,27.0421
51500,27.5507
51600,28.9426
51700,27.6433
51800,29.6733
51900,28.3492
52000,27.2482
52100,32.2078
52200,29.3793
52300,33.6912
52400,28.139
52500,32.2694
52600,26.6247
52700,27.4013
52800,28.5869
52900,28.6774
53000,32.9859
53100,31.575
53200,28.4327
53300,29.1774
53400,30.2613
53500,29.2971
53600,30.3241
53700,29.7906
53800,28.4209
53900,30.1824
54000,30.9245
54100,33.881
54200,34.9573
54300,30.3492
54400,29.3464
54500,30.1439
54600,29.6171
54700,27.9717
54800,31.4277
54900,33.9449
55000,29.4671
55100,29.9572
55200,33.4498
55300,38.5181
55400,31.2673
55500,29.7363
55600,32.6816
55700,33.7007
55800,30.2505
55900,39.3485
56000,29.8419
56100,29.6519
56200,28.8992
56300,30.8078
56400,31.1715
56500,30.6002
56600,29.4731
56700,34.4905
56800,29.3092
56900,30.5711
57000,30.7394
57100,30.8943
57200,35.422
57300,34.4322
57400,30.5109
57500,31.7116
57600,31.7973
57700,30.7753
57800,32.4846
57900,31.2401
58000,29.785
58100,31.3037
58200,36.62
58300,29.5991
58400,32.2048
58500,32.305
58600,32.7325
58700,33.3591
58800,32.0847
58900,33.2391
59000,33.162
59100,32.7933
59200,32.6107
59300,33.4345
59400,31.597
59500,30.9002
59600,33.9789
59700,33.5048
59800,31.2162
59900,31.1015
60000,31.404
60100,33.3808
60200,31.6967
60300,32.1961
60400,33.153
60500,32.7755
60600,32.3524
60700,39.8833
60800,32.1849
60900,32.155
61000,34.8
61100,38.6477
61200,34.2352
61300,35.6473
61400,33.8532
61500,33.0828
61600,42.4292
61700,35.0794
61800,32.3271
61900,33.3377
62000,33.9374
62100,34.1471
62200,40.1296
62300,34.2743
62400,40.2592
62500,33.5209
62600,35.3923
62700,45.3253
62800,34.9014
62900,51.6231
63000,72.3725
63100,36.7186
63200,38.7957
63300,44.1833
63400,75.9188
63500,52.4788
63600,39.291
63700,45.2898
63800,40.6246
63900,35.7401
64000,36.8725
64100,38.1779
64200,35.8482
64300,36.4935
64400,41.7479
64500,33.1072
64600,35.4889
64700,35.0157
64800,36.1651
64900,35.9924
65000,36.4121
65100,37.4707
65200,37.5704
65300,35.0558
65400,36.8686
65500,36.961
65600,35.0274
65700,35.83
65800,34.7811
65900,36.757
66000,37.4498
66100,36.0094
66200,34.0567
66300,36.9602
66400,35.851
66500,37.7885
66600,40.71
66700,34.5793
66800,35.6902
66900,40.1003
67000,40.0178
67100,34.301
67200,35.5183
67300,38.4562
67400,39.6849
67500,41.5491
67600,38.584
67700,37.1259
67800,82.456
67900,35.4256
68000,35.8662
68100,42.9004
68200,40.4993
68300,41.2282
68400,39.1879
68500,40.6789
68600,41.0589
68700,39.5939
68800,42.2059
68900,43.329
69000,42.6053
69100,41.8138
69200,44.6478
69300,42.0005
69400,40.0125
69500,42.5096
69600,41.3569
69700,43.8595
69800,38.6453
69900,42.8052
70000,39.6008
70100,44.0472
70200,45.3192
70300,42.2232
70400,39.7548
70500,42.6823
70600,41.9873
70700,42.8042
70800,44.0287
70900,40.6729
71000,44.1632
71100,45.6344
71200,41.9422
71300,43.1348
71400,41.1953
71500,46.5969
71600,44.3363
71700,41.5034
71800,44.5688
71900,39.6842
72000,45.1917
72100,44.1033
72200,42.027
72300,50.9102
72400,47.9974
72500,41.9238
72600,41.4834
72700,45.0163
72800,52.1599
72900,45.2856
73000,42.2402
73100,44.0707
73200,40.7124
73300,44.1615
73400,44.9267
73500,43.1477
73600,44.6102
73700,46.7379
73800,42.5222
73900,44.3404
74000,44.8244
74100,42.8773
74200,46.2649
74300,48.6242
74400,44.5553
74500,46.8102
74600,52.2743
74700,44.9582
74800,47.4137
74900,49.1237
75000,49.2983
75100,50.8061
75200,92.2067
75300,67.4062
75400,59.3918
75500,53.5646
75600,68.2331
75700,42.85
75800,44.6992
75900,49.686
76000,73.7534
76100,47.4396
76200,42.4827
76300,49.4892
76400,42.4838
76500,46.6875
76600,51.9812
76700,45.1214
76800,42.6217
76900,50.2391
77000,44.8232
77100,45.4538
77200,43.157
77300,42.4065
77400,39.7211
77500,44.5229
77600,50.1916
77700,50.7302
77800,48.7785
77900,46.7824
78000,45.9704
78100,43.8394
78200,45.9825
78300,46.4331
78400,47.0322
78500,44.0926
78600,46.8915
78700,49.9432
78800,46.3961
78900,47.697
79000,47.6571
79100,48.3781
79200,44.5676
79300,47.6436
79400,50.1672
79500,46.6617
79600,47.326
79700,50.7955
79800,46.5376
79900,48.333
80000,44.6875
80100,49.6796
80200,46.1845
80300,45.8718
80400,50.7792
80500,48.6268
80600,44.993
80700,47.6492
80800,47.8996
80900,47.9323
81000,54.9284
81100,49.3097
81200,52.3704
81300,47.04
81400,47.7951
81500,46.8049
81600,47.4964
81700,45.841
81800,51.0519
81900,49.0358
82000,46.5535
82100,47.6613
82200,47.8113
82300,47.3083
82400,46.391
82500,53.2638
82600,42.8157
82700,46.4096
82800,48.6078
82900,48.6423
83000,47.9917
83100,48.725
83200,47.4661
83300,47.8442
83400,47.6622
83500,47.9845
83600,46.8544
83700,51.3905
83800,51.1854
83900,52.7013
84000,49.8906
84100,50.8748
84200,49.4594
84300,49.5914
84400,49.2279
84500,49.8095
84600,53.454
84700,47.6933
84800,48.4695
84900,52.2354
85000,58.3089
85100,48.4247
85200,82.9286
85300,59.3884
85400,62.203
85500,50.7973
85600,52.9392
85700,53.7016
85800,49.6001
85900,56.0301
86000,57.5578
86100,56.2487
86200,52.1256
86300,66.7131
86400,55.2729
86500,51.3591
86600,49.6226
86700,48.8356
86800,50.4215
86900,50.7969
87000,52.532
87100,49.638
87200,52.7314
87300,47.6859
87400,53.4764
87500,50.2207
87600,50.1595
87700,50.7967
87800,53.399
87900,50.5199
88000,52.2438
88100,50.6461
88200,51.1017
88300,50.3644
88400,50.628
88500,55.4971
88600,48.3294
88700,51.5132
88800,49.5679
88900,52.3626
89000,53.3798
89100,58.3422
89200,49.4632
89300,50.496
89400,50.5924
89500,55.0107
89600,53.6334
89700,59.1504
89800,65.9517
89900,53.5856
90000,65.3973
90100,47.3765
90200,56.2318
90300,60.7802
90400,50.4666
90500,62.1953
90600,50.0016
90700,51.1705
90800,60.6862
90900,53.3205
91000,59.1549
91100,55.1921
91200,57.009
91300,66.3184
91400,56.4335
91500,92.0803
91600,57.162
91700,57.6345
91800,58.881
91900,57.5794
92000,56.675
92100,56.8974
92200,57.9654
92300,64.9873
92400,55.936
92500,64.1852
92600,53.1073
92700,77.8551
92800,49.932
92900,55.7359
93000,57.4384
93100,60.652
93200,66.6114
93300,62.2747
93400,71.691
93500,68.8164
93600,69.4635
93700,49.0604
93800,55.2255
93900,62.4244
94000,60.7193
94100,61.0924
94200,68.1258
94300,56.9792
94400,67.4221
94500,63.569
94600,59.8671
94700,66.2387
94800,68.1594
94900,74.5354
95000,58.5438
95100,81.955
95200,67.3745
95300,63.0794
95400,65.0787
95500,70.918
95600,51.9029
95700,55.8564
95800,56.9102
95900,61.4413
96000,58.6977
96100,57.1594
96200,55.0089
96300,52.3
96400,57.1232
96500,55.4765
96600,52.6277
96700,55.1419
96800,73.2479
96900,50.0075
97000,53.5758
97100,55.7375
97200,56.2903
97300,54.4347
97400,53.6199
97500,50.9478
97600,51.3466
97700,49.1853
97800,50.7135
97900,52.1907
98000,46.3714
98100,52.5472
98200,51.1753
98300,51.3412
98400,47.3074
98500,45.9281
98600,48.4909
98700,47.8827
98800,48.2904
98900,46.43
99000,48.8028
99100,48.012
99200,54.0766
99300,53.1982
99400,49.8126
99500,53.666
99600,53.4722
99700,49.8832
99800,53.1413
99900,70.1371
100000,46.344
105000,53.7172
110000,52.7702
115000,69.5176
120000,65.7671
125000,94.8419
130000,79.1746
135000,72.0884
140000,168.042
145000,117.463
150000,101.006
155000,103.818
160000,93.978
165000,100.009
170000,110.426
175000,102.814
180000,108.339
185000,153.566
190000,140.76
195000,117.951
200000,136.936
205000,113.658
210000,120.257
215000,135.655
220000,126.266
225000,179.042
230000,132.089
235000,154.588
240000,157.791
245000,153.359
250000,154.754
255000,173.89
260000,166.516
265000,184.921
270000,160.298
275000,435.483
280000,183.467
285000,186.934
290000,189.89
295000,221.172
300000,224.183
305000,216.48
310000,212.394
315000,223.44
320000,206.047
325000,219.589
330000,235.599
335000,244.385
340000,249.093
345000,231.245
350000,241.681
355000,243.642
360000,222.236
365000,249.203
370000,240.995
375000,253.073
380000,254.327
385000,276.899
390000,262.777
395000,260.565
400000,242.768
405000,268.19
410000,310.617
415000,273.374
420000,315.093
425000,304.081
430000,291.845
435000,299.357
440000,298.317
445000,313.463
450000,298.97
455000,313.719
460000,339.899
465000,341.604
470000,292.908
475000,333.935
480000,339.024
485000,344.41
490000,319.981
495000,339.951
500000,323.286
505000,347.203
510000,346.179
515000,351.871
520000,384.894
525000,406.101
530000,328.286
535000,429.013
540000,397.62
545000,789.599
550000,367.61
555000,405.038
560000,419.938
565000,371.009
570000,380.016
575000,369.651
580000,371.381
585000,389.552
590000,395.978
595000,407.76
600000,446.952
605000,399.463
610000,447.432
615000,399.085
620000,431.98
625000,449.98
630000,427.006
635000,399.086
640000,434.462
645000,458.507
650000,422.057
655000,433.453
660000,459.504
665000,422
670000,437.293
675000,434.553
680000,455.483
685000,461.144
690000,473.002
695000,463.493
700000,445.088
705000,502.902
710000,458.593
715000,474.094
720000,469.88
725000,582.149
730000,501.531
735000,508.591
740000,507.903
745000,478.437
750000,489.472
755000,511.082
760000,492.186
765000,529.986
770000,509.524
775000,508.508
780000,545.426
785000,527.966
790000,557.337
795000,518.29
800000,549.537
805000,556.456
810000,562.031
815000,553.827
820000,554.872
825000,584.532
830000,550.453
835000,595.677
840000,587.193
845000,614.971
850000,605.544
855000,592.189
860000,637.433
865000,625.207
870000,620.233
875000,632.537
880000,643.366
885000,597.574
890000,584.649
895000,639.468
900000,587.656
905000,612.704
910000,621.711
915000,641.502
920000,636.231
925000,689.675
930000,621.293
935000,645.179
940000,663.488
945000,737.547
950000,644.178
955000,667.372
960000,699.21
965000,709.156
970000,733.542
975000,744.629
980000,679.517
985000,726.94
990000,699.749
995000,721.793
